krok 	 magnetyzacja 
1	-0.6054
2	-0.5792
3	-0.5396
4	-0.503
5	-0.469
6	-0.4308
7	-0.4016
8	-0.375
9	-0.3482
10	-0.3208
11	-0.3002
12	-0.277
13	-0.259
14	-0.2346
15	-0.2192
16	-0.2012
17	-0.1784
18	-0.1558
19	-0.1368
20	-0.119
21	-0.098
22	-0.0792
23	-0.062
24	-0.0426
25	-0.0252
26	-0.0094
27	0.005
28	0.0228
29	0.0376
30	0.0514
31	0.0628
32	0.0816
33	0.0964
34	0.1098
35	0.1266
36	0.1408
37	0.1524
38	0.1706
39	0.187
40	0.2034
41	0.2186
42	0.235
43	0.2554
44	0.2736
45	0.291
46	0.3096
47	0.3246
48	0.34
49	0.3534
50	0.3672
51	0.3814
52	0.395
53	0.4088
54	0.423
55	0.4394
56	0.4524
57	0.4642
58	0.476
59	0.4914
60	0.504
61	0.5158
62	0.5318
63	0.5466
64	0.56
65	0.5702
66	0.5812
67	0.5936
68	0.6026
69	0.6126
70	0.6208
71	0.6312
72	0.6418
73	0.6518
74	0.6606
75	0.6694
76	0.6792
77	0.6894
78	0.6958
79	0.7042
80	0.708
81	0.714
82	0.7192
83	0.727
84	0.7354
85	0.7426
86	0.7514
87	0.7606
88	0.7706
89	0.7774
90	0.785
91	0.7928
92	0.8024
93	0.8112
94	0.8214
95	0.828
96	0.8362
97	0.8448
98	0.8504
99	0.8614
100	0.8684
